Package             Version
------------------- ----------
accelerate          0.27.2
aiohttp             3.9.3
aiosignal           1.3.1
annotated-types     0.6.0
anyio               4.2.0
async-timeout       4.0.3
attrs               23.2.0
blinker             1.7.0
blis                0.7.11
catalogue           2.0.10
certifi             2024.2.2
charset-normalizer  3.3.2
click               8.1.7
cloudpathlib        0.16.0
colorama            0.4.6
confection          0.1.4
cymem               2.0.8
dataclasses-json    0.6.4
datasets            2.17.0
detect-secrets      1.4.0
dill                0.3.8
distro              1.9.0
evaluate            0.4.1
exceptiongroup      1.2.0
Faker               22.7.0
filelock            3.13.1
Flask               3.0.2
frozenlist          1.4.1
fsspec              2023.10.0
fuzzysearch         0.7.3
greenlet            3.0.3
h11                 0.14.0
httpcore            1.0.3
httpx               0.26.0
huggingface-hub     0.20.3
idna                3.6
itsdangerous        2.1.2
Jinja2              3.1.3
joblib              1.3.2
json_repair         0.8.0
jsonpatch           1.33
jsonpointer         2.4
langchain           0.1.7
langchain-community 0.0.20
langchain-core      0.1.23
langchain-openai    0.0.6
langcodes           3.3.0
langsmith           0.0.87
llm-guard           0.3.9
MarkupSafe          2.1.5
marshmallow         3.20.2
mpmath              1.3.0
multidict           6.0.5
multiprocess        0.70.16
murmurhash          1.0.10
mypy-extensions     1.0.0
networkx            3.2.1
nltk                3.8.1
numpy               1.26.4
openai              1.12.0
packaging           23.2
pandas              2.2.0
phonenumbers        8.13.30
pip                 22.3.1
preshed             3.0.9
presidio-analyzer   2.2.353
presidio-anonymizer 2.2.353
protobuf            4.25.2
psutil              5.9.8
pyarrow             15.0.0
pyarrow-hotfix      0.6
pycryptodome        3.20.0
pydantic            2.6.1
pydantic_core       2.16.2
python-dateutil     2.8.2
pytz                2024.1
PyYAML              6.0.1
regex               2023.12.25
requests            2.31.0
requests-file       2.0.0
responses           0.18.0
safetensors         0.4.2
scikit-learn        1.4.0
scipy               1.12.0
sentencepiece       0.1.99
seqeval             1.2.2
setuptools          65.5.0
six                 1.16.0
smart-open          6.4.0
sniffio             1.3.0
spacy               3.7.4
spacy-legacy        3.0.12
spacy-loggers       1.0.5
span-marker         1.5.0
SQLAlchemy          2.0.27
srsly               2.4.8
structlog           24.1.0
sympy               1.12
tenacity            8.2.3
thinc               8.2.3
threadpoolctl       3.3.0
tiktoken            0.5.2
tldextract          5.1.1
tokenizers          0.15.2
torch               2.0.1
tqdm                4.66.2
transformers        4.36.2
typer               0.9.0
typing_extensions   4.9.0
typing-inspect      0.9.0
tzdata              2024.1
urllib3             2.2.0
wasabi              1.1.2
weasel              0.3.4
Werkzeug            3.0.1
xformers            0.0.22
xxhash              3.4.1
yarl                1.9.4
